"","X","polyname","RUCC","County","VAM","year","state","state.low","county.low","fips","colorID","color"
"10111",10111,"ohio,darke",6,"Darke County",812,1963,"Ohio","ohio","darke county",39037,12,"#5511F7"
"10112",10112,"ohio,darke",6,"Darke County",134,1947,"Ohio","ohio","darke county",39037,2,"#F20420"
"10113",10113,"ohio,darke",6,"Darke County",50,1929,"Ohio","ohio","darke county",39037,1,"#FF0000"
"10114",10114,"ohio,defiance",7,"Defiance County",133,1929,"Ohio","ohio","defiance county",39039,2,"#F20420"
"10115",10115,"ohio,defiance",7,"Defiance County",NA,1958,"Ohio","ohio","defiance county",39039,NA,NA
"10116",10116,"ohio,defiance",7,"Defiance County",499,1947,"Ohio","ohio","defiance county",39039,8,"#A61DE0"
"10117",10117,"ohio,defiance",7,"Defiance County",NA,1954,"Ohio","ohio","defiance county",39039,NA,NA
"10118",10118,"ohio,defiance",7,"Defiance County",NA,1963,"Ohio","ohio","defiance county",39039,NA,NA
"10119",10119,"ohio,delaware",6,"Delaware County",49,1929,"Ohio","ohio","delaware county",39041,1,"#FF0000"
"10120",10120,"ohio,delaware",6,"Delaware County",521,1958,"Ohio","ohio","delaware county",39041,8,"#A61DE0"
"10121",10121,"ohio,delaware",6,"Delaware County",255,1947,"Ohio","ohio","delaware county",39041,4,"#D90C60"
"10122",10122,"ohio,delaware",6,"Delaware County",805,1963,"Ohio","ohio","delaware county",39041,12,"#5511F7"
"10123",10123,"ohio,delaware",6,"Delaware County",577,1954,"Ohio","ohio","delaware county",39041,9,"#951DF1"
"10124",10124,"ohio,erie",4,"Erie County",NA,1958,"Ohio","ohio","erie county",39043,NA,NA
"10125",10125,"ohio,erie",4,"Erie County",834,1947,"Ohio","ohio","erie county",39043,13,"#3F0CF9"
"10126",10126,"ohio,erie",4,"Erie County",253,1929,"Ohio","ohio","erie county",39043,4,"#D90C60"
"10127",10127,"ohio,erie",4,"Erie County",NA,1963,"Ohio","ohio","erie county",39043,NA,NA
"10128",10128,"ohio,erie",4,"Erie County",NA,1954,"Ohio","ohio","erie county",39043,NA,NA
"10129",10129,"ohio,fairfield",4,"Fairfield County",NA,1963,"Ohio","ohio","fairfield county",39045,NA,NA
